acontra+,PRIME: ACONTRA+ CINE ᴿᴬᵂ
AMC HD,PRIME: AMC ᴿᴬᵂ
AMC Break,PRIME: AMC BREAK ᴿᴬᵂ
AMC Crime,PRIME: AMC CRIME ᴿᴬᵂ
Antena 3 HD,PRIME: ANTENA 3 ᴿᴬᵂ
Atreseries,PRIME: ATRESERIES ᴿᴬᵂ
Be Mad,PRIME: BE MAD ᴿᴬᵂ
Boing,PRIME: BOING ᴿᴬᵂ
Canal Cocina,PRIME: CANAL COCINA ᴿᴬᵂ
Canal Hollywood HD,PRIME: CANAL HOLLYWOOD ᴿᴬᵂ
Cuatro HD,PRIME: CUATRO ᴿᴬᵂ
DARK,PRIME: DARK ᴿᴬᵂ
Divinity,PRIME: DIVINITY ᴿᴬᵂ
Energy,PRIME: E.ENERGY ᴿᴬᵂ
Eurosport 1 HD,PRIME: EUROSPORT 1 ᴿᴬᵂ
Historia,PRIME: HISTORIA ᴿᴬᵂ
LaLiga TV Hypermotion HD,PRIME: LALIGA HYPERMOTION TV ᴿᴬᵂ
LaLiga TV Hypermotion 2,PRIME: LALIGA HYPERMOTION TV 2 ᴿᴬᵂ
LaLiga TV Hypermotion 3,PRIME: LALIGA HYPERMOTION TV 3 ᴿᴬᵂ
La Sexta HD,PRIME: LASEXTA ᴿᴬᵂ
Mega,PRIME: MEGA ᴿᴬᵂ
Mezzo,PRIME: MEZZO ᴿᴬᵂ
Mezzo Live HD,PRIME: MEZZO LIVE ᴿᴬᵂ
ESPN International,PRIME: NBA TV INTERNATIONAL ᴿᴬᵂ
Negocios TV,PRIME: NEGOCIOS TV ᴿᴬᵂ
Neox,PRIME: NEOX ᴿᴬᵂ
NFL Network,PRIME: NFL NETWORK ᴿᴬᵂ
Nova,PRIME: NOVA ᴿᴬᵂ
Odisea,PRIME: ODISEA ᴿᴬᵂ
Red Bull TV,PRIME: RED BULL TV ᴿᴬᵂ
Somos,PRIME: SOMOS ᴿᴬᵂ
Sundance TV,PRIME: SUNDANCE TV ᴿᴬᵂ
Telecinco HD,PRIME: TELECINCO ᴿᴬᵂ
VinTV,PRIME: VINTV ᴿᴬᵂ
VinTV,PRIME: VIZNER TV ᴿᴬᵂ
XTRM,PRIME: XTRM ᴿᴬᵂ
AMC Western,PRIME: �AMC WESTRN ᴿᴬᵂ
,#### ATRES PLAYER ᴿᴬᵂ ####
Aquí no hay quién viva,PLAYER: DIRECTO AQUÍ NO HAY QUIÉN VIVA ᴿᴬᵂ
ATRESplayer PREMIUM,PLAYER: DIRECTO ATRESPLAYER PREMIUM ᴿᴬᵂ
Comedia atresplayer,PLAYER: DIRECTO COMEDIA ᴿᴬᵂ
El club de la comedia,PLAYER: DIRECTO EL CLUB DE LA COMEDIA ᴿᴬᵂ
Equipo de investigación,PLAYER: DIRECTO EQUIPO DE INVESTIGACIÓN ᴿᴬᵂ
,##### TELEFÓNICA ᴿᴬᵂ #####
Telecinco HD,TF: TELECINCO ᴿᴬᵂ
Cuatro HD,TF: CUATRO ᴿᴬᵂ
Divinity,TF: DIVINITY ᴿᴬᵂ
Factoría de Ficción,TF: FACTOR A DE FICCIN  ᴿᴬᵂ
Energy,TF: ENERGY ᴿᴬᵂ
Be Mad,TF: BEDMAD ᴿᴬᵂ
Boing,TF: BOING ᴿᴬᵂ
Infinity En la calle,TF: EN LA CALLE ᴿᴬᵂ
Infinity Viajes,TF: VIAJES ᴿᴬᵂ
Infinity+ LQSA,TF: LQSA ᴿᴬᵂ
M+ Comedia HD,TF: COMEDIA ᴿᴬᵂ
Infinity Top Series,TF: TOP SERIES ᴿᴬᵂ
,#### ORANGE ᴿᴬᵂ ####
La 1 HD,GO: LA 1 ᴿᴬᵂ
La 2,GO: LA 2 ᴿᴬᵂ
La Sexta HD,GO: LA SEXTA
M+ Acción HD,GO: M+ ACCIÓN ᴿᴬᵂ
M+ Cine Español,GO: M+ CINE ESPANOL ᴿᴬᵂ
M+ Clásicos HD,GO: M+ CLASICOS ᴿᴬᵂ
M+ Comedia HD,GO: M+ COMEDIA ᴿᴬᵂ
M+ Documentales HD,GO: M+ DOCUMENTALES ᴿᴬᵂ
M+ Drama HD,GO: M+ DRAMA ᴿᴬᵂ
M+ Hits HD,GO: M+ HITS ᴿᴬᵂ
M+ Indie HD,GO: M+ INDIE ᴿᴬᵂ
M+ Los Goya,GO: M+ LOS GOYA ᴿᴬᵂ
M+ Originales HD,GO: M+ ORIGINALES ᴿᴬᵂ
M+ Oscars,GO: M+ DEMI MOORE ᴿᴬᵂ
Movistar Plus+ HD,GO: MOVISTAR PLUS+ ᴿᴬᵂ
Movistar Plus+ HD,GO: MOVISTAR PLUS+ 2 ᴿᴬᵂ
1+1 International,GO: 1+1 INTERNACIONAL ᴿᴬᵂ
24 Horas,GO: 24 HORAS ᴿᴬᵂ
Popular TV Región de Murcia,GO: 7 TV REGIÓN MURCIA ᴿᴬᵂ
AXN HD,GO: AXN ᴿᴬᵂ
AXN Movies HD,GO: AXN MOVIES ᴿᴬᵂ
Al Jazeera English HD,GO: AL JAZEERA ENGLISH
Antena 3 HD,GO: ANTENA 3 ᴿᴬᵂ
Aragón TV,GO: ARAGÓN TV ᴿᴬᵂ
Aragón TV,GO: ARAGÓN TV INT ᴿᴬᵂ
Atreseries,GO: ATRESERIES ᴿᴬᵂ
BBC Food,GO: BBC FOOD ᴿᴬᵂ
BBC History,GO: BBC HISTORY ᴿᴬᵂ
BBC Top Gear,GO: BBC TOP GEAR ᴿᴬᵂ
BBC Food,GO: BBC WORLD ᴿᴬᵂ
Be Mad,GO: BE MAD ᴿᴬᵂ
Baby TV,GO: BABY TV ᴿᴬᵂ
Bloomberg TV Europe,GO: BLOOMBERG ᴿᴬᵂ
Boing,GO: BOING ᴿᴬᵂ
CGTN Español,GO: CGTN ESPAÑOL ᴿᴬᵂ
Cosmo HD,GO: COSMO ᴿᴬᵂ
Calle 13 HD,GO: CALLE 13 ᴿᴬᵂ
Canal Extremadura,GO: CANAL EXTREMADURA ᴿᴬᵂ
Canal Extremadura SAT,GO: CANAL EXTREMADURA SAT ᴿᴬᵂ
Canal Sur HD,GO: CANAL SUR ᴿᴬᵂ
Canal Sur Andalucía,GO: CANAL SUR ANDALUCIA ᴿᴬᵂ
CMM TV,GO: CASTILLA LA MANCHA TV ᴿᴬᵂ
Caza y Pesca HD,GO: CAZA Y PESCA ᴿᴬᵂ
Clan,GO: CLAN TVE ᴿᴬᵂ
Classica HD,GO: CLASSICA ᴿᴬᵂ
Comedy Central HD,GO: COMEDY CENTRAL ᴿᴬᵂ
Cuatro HD,GO: CUATRO ᴿᴬᵂ
DKISS,GO: DKISS ᴿᴬᵂ
DMAX,GO: DMAX ᴿᴬᵂ
Discovery,GO: DISCOVERY ᴿᴬᵂ
Disney Junior,GO: DISNEY JUNIOR ᴿᴬᵂ
Divinity,GO: DIVINITY ᴿᴬᵂ
Dreamworks HD,GO: DREAM WORK ᴿᴬᵂ
EITB Basque,GO: EITB BASQUE ᴿᴬᵂ
ETB1,GO: ETB 1 ᴿᴬᵂ
Garage TV,GO: EL GARAGE TV ᴿᴬᵂ
El Toro TV,GO: EL TORO TV ᴿᴬᵂ
Energy,GO: ENERGY ᴿᴬᵂ
EuroNews,GO: EURO NEWS ᴿᴬᵂ
France 24,GO: FRANCE24 (FR) ᴿᴬᵂ
MTV España,GO: MTV ᴿᴬᵂ
HBO Max Avances,GO: MAX AVANCES ᴿᴬᵂ
